934882

7th
MATH,94,97,97,95,92,95,
ENG,92,89,91,88,87,87,
SCI,75,76,77,79,76,78,
SOC,82,84,87,82,86,85,
PE,100,100,97,98,96,97,
ART,82,81,83,80,82,81,

8th
MATH,93,93,94,95,90,95,
ENG,92,94,93,95,94,93,
SCI,77,76,77,77,77,77,
SOC,84,79,79,81,79,81,
PE,95,100,97,95,98,97,
ART,83,83,80,83,80,83,

9th
MATH,92,96,93,91,95,96,
ENG,88,92,88,93,91,93,
SCI,72,72,69,73,68,68,
SOC,82,83,84,80,85,83,
PE,97,96,99,94,95,95,
ART,79,83,79,81,81,81,

10th
MATH,92,91,91,95,96,91,
ENG,87,86,85,85,87,87,
SCI,71,70,70,71,73,69,
SOC,81,81,82,81,80,80,
PE,97,94,93,93,94,98,
ART,81,83,85,84,81,82,

11th
MATH,89,93,92,94,89,89,
ENG,82,86,83,86,85,84,
SCI,76,75,75,75,76,75,
SOC,84,82,84,82,85,82,
PE,93,92,94,95,92,95,
ART,81,82,81,85,82,80,

12th
MATH,89,89,93,89,90,93,
ENG,89,87,86,87,86,85,
SCI,76,77,78,74,75,75,
SOC,81,78,81,83,83,82,
PE,93,92,94,93,95,94,
ART,82,83,84,84,81,84,
